,id,anchor,target,context,score
0,37d61fd2272659b1,abatement,abatement of pollution,A47,0.5
1,7b9652b17b68b7a4,abatement,act of abating,A47,0.75
2,36d72442aefd8232,abatement,active catalyst,A47,0.25
3,5296b0c19e1ce60e,abatement,eliminating process,A47,0.5
4,54c1e3b9184cb5b6,abatement,forest region,A47,0.0
5,067203128142739c,abatement,greenhouse gases,A47,0.25
6,061d17f04be2d1cf,abatement,increased rate,A47,0.25
7,e1f44e48399a2027,abatement,measurement level,A47,0.25
8,0a425937a3e86d10,abatement,minimising sounds,A47,0.5
9,ef2d4c2e6bbb208d,abatement,mixing core materials,A47,0.25
10,4c3f2750e7540ab7,abatement,multi pollution abatement device,A47,0.5
11,84261a11e5d1b68b,abatement,noise reduction,A47,0.5
12,bfd7270f57530991,abatement,pollution abatement,A47,0.5
13,b3832eac81b73dfd,abatement,pollution abatement incinerator,A47,0.5
14,9001756895ec8ca1,abatement,pollution certificate,A47,0.0
15,cc96541d4987b399,abatement,rent abatement,A47,0.0
16,deb9204cd9783e8b,abatement,sorbent material,A47,0.25
17,45db77f26e5ac39f,abatement,source items pollution abatement technology,A47,0.5
18,1222e36d9a94c2a4,abatement,stone abutments,A47,0.0
19,a8c9e9f37d4d836a,abatement,tax abatement,A47,0.0
20,c450cc69fa315db9,abatement,water bodies,A47,0.0
21,09913d3964d4c881,abatement,emission abatement,A61,0.5
22,87af8ea095cc18d4,abatement,prevention,A61,0.5
23,d7bb1ea2b761fef2,abatement,prophylaxis,A61,0.25
24,f6dfaebab0d209b7,abatement,pollution abatement,A62,0.5
25,ee25d53aac9ecaf0,abatement,abatement apparatus,C01,0.5
26,4fd7d0a3b8887846,abatement,treatment,F16,0.0
27,506f8d0a6feae789,abatement,abatement apparatus,F24,0.5
28,473137168ebf7484,abatement,abating,F24,1.0
29,56acc49e0f5da095,abatement,central hub,F24,0.0
30,bc5af15a01442792,abatement,control panel,F24,0.0
31,c652ac20bb14b2b0,abatement,deficiency,F24,0.25
32,f0b0f0898ec291eb,abatement,diminished chord,F24,0.0
33,4bb652c1091f3d1d,abatement,diminished image,F24,0.0
34,142436708875e523,abatement,diminishing,F24,0.5
35,b539d0f45bff2213,abatement,eliminating,F24,0.5
36,fde22bfb2f89383c,abatement,eliminating emissions,F24,0.25
37,e490558573ed44ff,abatement,eliminating pollutants,F24,0.5
38,62dbb14376eb40ac,abatement,increasing,F24,0.25
39,13b13c212a1756f5,abatement,increasing order,F24,0.0
40,8524aecd17299b63,abatement,mitigation,F24,0.25
41,f1c655d247630730,abatement,pollution control,F24,0.25
42,6917b6123c373233,abatement,processing unit,F24,0.0
43,7ab0bc7f2b94c401,abatement,removing air pollutants,F24,0.5
44,4d9fb5ff45c8ab1d,abatement,subsiding,F24,0.5
45,1d4a73e6a5e56a01,abatement,treating emissions,F24,0.5
46,98a851a58d837fb0,abatement,noise abatement,F28,0.5
47,09db0a872aa1d88c,abatement,noise abatement,H01,0.5
48,6bdd1d05ffa3401e,abatement,emission abatement,H04,0.5
49,8ff16a96af7558f0,abnormal position,abnormal position data,B23,0.5
50,edfb98a9ff1d471b,abnormal position,attitude,B23,0.25
51,5fd26b0436ca8d94,abnormal position,closed position shown,B23,0.25
52,0d32e5f72293247d,abnormal position,condition illustrated,B23,0.25
53,8aedbf799717e3e7,abnormal position,condition shown,B23,0.25
54,856cef1a4eefc3aa,abnormal position,data,B23,0.25
55,285e870def5f465e,abnormal position,information,B23,0.25
56,903348f5bf47757f,abnormal position,inoperative condition,B23,0.5
57,89b44fe4b2014455,abnormal position,inoperative position,B23,0.5
58,bf372a0f3662e295,abnormal position,open as shown,B23,0.25
59,4d0b732250d2940d,abnormal position,open condition,B23,0.25
60,611645de95674898,abnormal position,open position,B23,0.25
61,b4fc3daf3fc2430b,abnormal position,open position illustrated,B23,0.25
62,392c5b8b62adf22d,abnormal position,open position shown,B23,0.25
63,0bad0cd5213fb783,abnormal position,orientation,B23,0.25
64,6445620272b7dd75,abnormal position,position illustrated,B23,0.25
65,93e12fb8f2b9ff44,abnormal position,position shown,B23,0.25
66,89f5d02f1f35a796,abnormal position,tip data,B23,0.25
67,6e89c332c3bc6310,abnormal position,tip information,B23,0.25
68,7ce7ec17ae212bfd,abnormal position,wear data,B23,0.25
69,a3d868244b35909c,abnormal position,angular position,B41,0.25
70,9c0105f34aedca0d,abnormal position,positions,B41,0.5
71,86f51d5b4f88f1c9,abnormal position,abnormal breathing,D03,0.0
72,3c23fa5c3894d9f2,abnormal position,abnormal manner,D03,0.5
73,80126fcecd1c57c9,abnormal position,abnormal placement,D03,0.75
74,0ff1349355ce5b66,abnormal position,abnormal posture,D03,0.75
75,cf244c76da9b3383,abnormal position,abnormal profit,D03,0.0
76,3e410ad7a4a355ff,abnormal position,abnormal side,D03,0.75
77,ba4ffdf9c7abdd05,abnormal position,anomaly scan,D03,0.0
78,6756c97d8e854f4e,abnormal position,depression,D03,0.25
79,bbb1ad23807f952a,abnormal position,deviated from,D03,0.25
80,f13ef1f56df101a5,abnormal position,engagement,D03,0.25
81,3db26a1f4e165795,abnormal position,implant positioning,D03,0.0
82,24257e1b2f5ff283,abnormal position,irregular configuration,D03,0.5
83,4f8d18e7ee6f98e9,abnormal position,locked position,D03,0.5
84,7e1e95ee1391c3c7,abnormal position,locked relationship,D03,0.25
85,9c1bdf2239b0e910,abnormal position,normal position,D03,0.25
86,29de10bbd3f15b11,abnormal position,odd position,D03,0.75
87,57a026611dddb7b9,abnormal position,place,D03,0.25
88,8fb46bccf1c86c33,abnormal position,position,D03,0.25
89,7b16ec4481a25536,abnormal position,position isomerism,D03,0.0
90,115dcdbc38948359,abnormal position,position vector,D03,0.0
91,0e8238c34746f7c4,abnormal position,rare placement,D03,0.25
92,1ae1c093187e3b73,abnormal position,recess,D03,0.0
93,fe30aa28e8d0563a,abnormal position,relative position,D03,0.5
94,ea12e2954b85c599,abnormal position,relative relationship,D03,0.25
95,4285cdf2221cc6d5,abnormal position,situation,D03,0.25
96,f6b53890ef57f9c5,abnormal position,unexpected position,D03,0.75
97,414373bc5329e819,abnormal position,unison,D03,0.0
98,d2304657a1e12333,abnormal position,unusal arrangement,D03,0.5
99,c4b30e7b8e853b87,abnormal position,unusual manner,D03,0.25
100,d32b4f6cdf710e0a,abnormal position,abnormal,E03,0.5
101,20d74695a08952db,abnormal position,abnormal condition,E03,0.75
